match_id,win,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,p_win_10min
NA1_5445439464,False,1224,1279,46,4,0.8452863338743819
NA1_5447465814,False,-2002,-894,-46,-3,0.23675382055933822
NA1_5451700069,True,4559,2501,-3,10,0.8388866872491024
NA1_5451312944,True,3582,2997,26,8,0.8044303479768715
NA1_5451336236,False,-3073,-3670,-68,-5,0.12242031715544106
NA1_5452074766,False,-315,-102,-32,-1,0.4342004849085966
NA1_5452257761,True,2390,-474,-20,6,0.7156307005934992
NA1_5447858194,False,-107,514,20,-1,0.5820585699190217
NA1_5447424378,False,-2413,-1178,13,-5,0.23600436711766892
NA1_5443884161,True,-793,-878,-24,0,0.35253887442591175
NA1_5450518048,True,768,1008,15,0,0.6488154718791577
NA1_5447833843,True,-764,698,-25,2,0.3540667892438293
NA1_5444176075,False,-218,80,4,-1,0.4690338018514641
NA1_5444627641,True,54,-30,-1,0,0.5309030560281005
NA1_5447485694,True,185,-488,-29,1,0.4612621038808343
NA1_5451221917,False,-1401,-1231,0,-3,0.35255890391725025
NA1_5445262210,False,-726,-400,-12,-2,0.43450652719039884
NA1_5443539939,False,-1851,-975,-62,-2,0.201480357261906
NA1_5443720069,True,739,-618,-11,1,0.5060389926594263
NA1_5445848194,True,-35,-40,-1,0,0.5418577765668385
NA1_5442700198,False,-444,-209,7,-1,0.5229222112455902
NA1_5450471259,True,2204,117,56,2,0.8098405280643611
NA1_5445004354,False,857,913,32,1,0.6832317137051773
NA1_5452093615,False,-924,-1205,-16,-1,0.43731093575238894
NA1_5451375737,True,-1198,-163,-60,2,0.2965317295819195
NA1_5452283963,True,675,-975,8,0,0.586827334324016
NA1_5445511933,False,-1551,-674,-21,-3,0.36845611466042677
NA1_5451205829,True,33,-247,36,-1,0.6375285164604128
NA1_5441661553,False,5,-151,7,-2,0.611898440302927
NA1_5450583431,True,-243,-746,-9,0,0.5267877355860716
NA1_5444145933,False,-89,280,-30,3,0.40869578161000997
NA1_5453815625,True,2475,630,29,6,0.7731851937679346
NA1_5450494106,False,-3063,-234,10,-8,0.26996924543303186
NA1_5446925907,True,-687,-436,26,-3,0.5189585546739733
NA1_5444969977,True,-30,1135,49,-3,0.5777111624653879
NA1_5452894425,False,742,1087,14,-1,0.6616913785106143
NA1_5445307408,True,-794,27,-37,2,0.4508237499267356
NA1_5452844383,True,-2169,-1562,-23,-5,0.1774251115068404
NA1_5445491120,False,-2470,-509,-8,-5,0.2649279555421286
NA1_5447082693,True,3546,1723,15,8,0.934790816177417
NA1_5445856406,True,-4147,-684,-20,-9,0.037589491135888047
NA1_5444591569,True,3291,1809,7,9,0.9318229448687008
NA1_5450330698,True,-708,-1251,0,-3,0.4393701082329012
NA1_5447062486,False,-3857,-812,-7,-8,0.21988887687786937
NA1_5445258829,False,-699,-1004,-14,-1,0.4571609591630899
NA1_5446980948,False,402,-368,-28,2,0.47437166715592977
NA1_5448255128,True,2792,2947,39,5,0.838558089225938
NA1_5443981883,False,814,1209,15,3,0.7025413967564744
NA1_5445405097,False,318,1132,49,0,0.6186782159100503
NA1_5453800996,True,1881,220,-1,5,0.710610873807539
NA1_5445385447,False,-2029,-1684,-1,-5,0.3683314386701561
NA1_5452618713,False,572,485,3,1,0.6073619954987599
NA1_5444706892,False,342,1010,6,1,0.5659138266703692
NA1_5443558815,False,-3365,-2387,-51,-6,0.19470608583301235
NA1_5446615103,True,522,704,-14,4,0.6337366079669022
NA1_5452831432,False,-1273,-631,-35,-1,0.33948152373353657
NA1_5447750091,False,-1167,-2489,-69,1,0.39089897734410445
NA1_5451659784,True,649,1358,30,1,0.6456862494953264
NA1_5445286612,True,2572,1877,55,4,0.7987933044560841
NA1_5444020417,False,-64,-222,-1,0,0.523347701137642
NA1_5445779568,True,1893,2361,49,4,0.7558158203744014
NA1_5451733648,False,-1289,-964,-34,-2,0.3544089783090953
NA1_5447788259,True,270,-497,36,-2,0.6382497120704735
NA1_5443742973,False,721,604,21,1,0.6528605311210589
NA1_5445815621,True,-2303,-1564,-15,-6,0.23829122598526084
NA1_5443620484,True,2385,1754,3,5,0.7530963819304163
NA1_5446577474,False,-1309,-2059,-52,-1,0.3212037206673414
NA1_5442752976,False,-1708,401,-16,-4,0.3671844413651825
NA1_5445038721,True,3405,1394,10,6,0.7695550252304074
NA1_5452330583,False,-2793,-682,-37,-5,0.2135204149794664
NA1_5453835414,True,-473,-281,7,-1,0.4849214145551251
NA1_5447766614,False,-1237,-1773,4,-5,0.4593055134489706
NA1_5442708175,False,16,155,-28,0,0.40916495064846276
NA1_5447102299,False,-463,-589,-35,0,0.4233818337069892
NA1_5441643118,False,-85,710,-6,1,0.5467356543410341
NA1_5447013181,True,-1605,729,17,-4,0.36563578329622054
