S08B — Expected wins from EARLY-game features + objectives (10 min)

Games used: 100
Actual wins: 51
Expected wins (sum p_win): 50.77
Luck diff (actual - expected): 0.23

Top 10 most 'unlucky' losses (high p_win but loss):
      match_id  p_win_10min_v2  gold_diff_10  xp_diff_10  cs_diff_10  kills_diff_10  dragon_kills_diff_10  plates_diff_10
NA1_5445439464        0.878402          1224        1279          46              4                     0               1
NA1_5447858194        0.808579          -107         514          20             -1                     1               0
NA1_5444035782        0.784237          1428        2337           5              3                     1               3
NA1_5441643118        0.778785           -85         710          -6              1                     1               1
NA1_5445335478        0.743523          2964        1317          11              7                    -1               1
NA1_5441661553        0.721042             5        -151           7             -2                     0               3
NA1_5442708175        0.689002            16         155         -28              0                     1               0
NA1_5444706892        0.676137           342        1010           6              1                     1              -1
NA1_5450317106        0.636480           508         740          25              0                     0               0
NA1_5445405097        0.632996           318        1132          49              0                     0               0

Top 10 most 'lucky' wins (low p_win but win):
      match_id  p_win_10min_v2  gold_diff_10  xp_diff_10  cs_diff_10  kills_diff_10  dragon_kills_diff_10  plates_diff_10
NA1_5445856406        0.045599         -4147        -684         -20             -9                     0               1
NA1_5452844383        0.077597         -2169       -1562         -23             -5                    -1               2
NA1_5452862200        0.140470         -1258        -803         -13             -4                    -1              -1
NA1_5443595699        0.146042         -1286       -1742         -20             -2                    -1              -3
NA1_5447485694        0.161574           185        -488         -29              1                    -1              -3
NA1_5451375737        0.202983         -1198        -163         -60              2                     0              -1
NA1_5444635382        0.224885          -506        1480          26              0                    -1               1
NA1_5453773386        0.267145         -1826         -73         -56             -3                     1               2
NA1_5443643292        0.272611         -2084        -944         -22             -4                     0              -1
NA1_5444969977        0.430406           -30        1135          49             -3                    -1               1
